player_name,dg_id,tour_l20,field_this_week,l5_starts,true_sg_l20,vs_baseline_l20
"Spieth, Jordan",14636,pga,pga,pga-the memorial tournament presented by workday-CUT_major-u.s. open-T56_pga-travelers championship-T66_pga-john deere classic-T58_major-the open championship-CUT,-0.58,-1.16
"Dunlap, Nick",28270,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-T33_pga-isco championship-T59_pga-corales puntacana championship-T20_pga-3m open-CUT,-0.6,0.09
"Nyholm, Pontus",25475,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-T26_pga-isco championship-T55_pga-corales puntacana championship-T69_pga-3m open-T39,-0.65,-0.01
"Hubbard, Mark",16333,pga,pga,pga-the memorial tournament presented by workday-CUT_pga-travelers championship-70_pga-john deere classic-T46_pga-genesis scottish open-CUT_pga-3m open-T34,-0.68,-0.37
"Griffin, Lanto",15330,pga,pga,pga-rbc canadian open-T60_pga-john deere classic-T39_pga-isco championship-T55_pga-corales puntacana championship-CUT_pga-3m open-T64,-0.7,-0.37
"Kang, Jeffrey",21889,pga,pga,pga-charles schwab challenge-T42_pga-john deere classic-CUT_pga-isco championship-CUT_pga-corales puntacana championship-T48_pga-3m open-T64,-0.76,-0.04
"Eckroat, Austin",26653,pga,pga,pga-rbc canadian open-73_pga-john deere classic-T58_pga-genesis scottish open-T30_pga-corales puntacana championship-CUT_pga-3m open-T57,-0.77,-0.71
"Saddier, Adrien",14792,pga,pga,pga-charles schwab challenge-T42_major-u.s. open-CUT_euro-ds automobiles 83° open d’italia-CUT_pga-genesis scottish open-T61_major-the open championship-CUT,-0.77,-0.47
"Springer, Hayden",21995,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-T58_pga-isco championship-CUT_pga-corales puntacana championship-T24_pga-3m open-CUT,-0.78,-0.23
"Wu, Dylan",25002,pga,pga,major-u.s. open-72_pga-john deere classic-CUT_pga-isco championship-T34_pga-corales puntacana championship-CUT_pga-3m open-CUT,-0.87,-0.37
"Li, Haotong",15310,pga,pga,pga-rbc canadian open-T60_pga-john deere classic-CUT_pga-genesis scottish open-CUT_major-the open championship-CUT_pga-3m open-T57,-0.92,-0.85
