player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Clanton, Luke",150,-0.588,0.000,22,0.043,0.055,-0.002,0.047,0.020,-0.003,0.006,0.024,0.027,-0.396,2.669,"Rocket Classic","Detroit Golf Club"
"Nyholm, Pontus",150,-0.513,0.000,28,0.018,0.019,0.050,0.045,-0.044,-0.012,0.022,0.014,0.024,-0.401,2.697,"Rocket Classic","Detroit Golf Club"
"Lipsky, David",150,-0.200,0.000,38,-0.024,-0.042,-0.010,-0.126,-0.007,0.010,-0.005,-0.001,0.003,-0.405,2.587,"Rocket Classic","Detroit Golf Club"
"Saddier, Adrien",150,-0.433,0.000,34,-0.007,0.055,-0.138,0.144,-0.044,0.002,-0.003,0.014,0.013,-0.409,2.678,"Rocket Classic","Detroit Golf Club"
"Crowe, Trace",150,-0.406,0.000,29,0.012,0.008,-0.025,0.002,-0.042,-0.005,0.013,0.015,0.023,-0.427,2.670,"Rocket Classic","Detroit Golf Club"
"Griffin, Lanto",150,-0.419,0.000,38,-0.024,0.031,0.008,-0.116,0.065,0.005,0.001,0.014,0.020,-0.435,2.598,"Rocket Classic","Detroit Golf Club"
"Springer, Hayden",150,-0.488,0.000,29,0.014,0.008,0.008,-0.062,0.061,-0.005,0.013,0.010,0.018,-0.442,2.685,"Rocket Classic","Detroit Golf Club"
"Lebioda, Hank",150,-0.536,0.000,32,0.000,0.005,0.017,-0.056,0.058,0.004,0.008,0.016,0.029,-0.481,2.625,"Rocket Classic","Detroit Golf Club"
"Wu, Dylan",150,-0.587,0.000,30,0.011,0.030,-0.008,-0.017,0.063,0.005,0.002,0.015,0.021,-0.486,2.578,"Rocket Classic","Detroit Golf Club"
"Dunlap, Nick",150,-0.624,0.000,22,0.044,-0.040,0.074,0.028,0.006,0.003,0.021,-0.018,0.006,-0.507,2.661,"Rocket Classic","Detroit Golf Club"
"Silverman, Ben",150,-0.471,0.000,38,-0.027,0.020,0.043,-0.131,0.043,0.010,-0.007,0.007,0.011,-0.513,2.590,"Rocket Classic","Detroit Golf Club"
"Snedeker, Brandt",150,-0.265,0.000,45,-0.057,-0.073,-0.052,-0.109,0.053,0.021,-0.017,-0.016,-0.011,-0.515,2.532,"Rocket Classic","Detroit Golf Club"
"Highsmith, Joe",150,-0.892,0.000,26,0.028,0.047,0.094,0.125,0.025,0.000,0.006,0.021,0.027,-0.547,2.713,"Rocket Classic","Detroit Golf Club"
"VanDerLaan, John",150,-0.679,0.000,30,0.011,0.060,0.028,0.051,-0.044,-0.003,0.001,0.025,0.023,-0.549,2.708,"Rocket Classic","Detroit Golf Club"
