event_name,course_name,player_name,dg_id,player_num,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole,r3_teetime,r3_wave,r3_starthole,r4_teetime,r4_wave,r4_starthole,current_round
3M Open,TPC Twin Cities,"Knapp, Jake",19396,47420,7:18 AM,early,10,12:33 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Kohles, Ben",16395,36884,12:00 PM,late,1,6:45 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Koivun, Jackson",32319,66701,12:33 PM,late,1,7:18 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Kuchar, Matt",6169,23108,7:51 AM,early,1,1:06 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Lamprecht, Christo",24343,54422,1:50 PM,late,1,8:35 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Lebioda, Hank",21943,49766,12:00 PM,late,1,6:45 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Li, Haotong",15310,35296,2:01 PM,late,10,8:46 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Lindheim, Nicholas",16713,37278,8:35 AM,early,1,1:50 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Lipsky, David",15980,36326,1:17 PM,late,1,8:02 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"List, Luke",7960,27129,8:02 AM,early,1,1:17 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Lower, Justin",17723,40162,1:17 PM,late,10,8:02 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Malnati, Peter",14926,34466,12:00 PM,late,10,6:45 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Martin, Ben",14007,33413,1:06 PM,late,1,7:51 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Matsuyama, Hideki",13562,32839,7:29 AM,early,10,12:44 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Mazzoli, Stefano",20844,49037,12:55 PM,late,10,7:40 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"McCarthy, Denny",19870,47993,8:13 AM,early,10,1:28 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"McGreevy, Max",23505,51950,1:06 PM,late,1,7:51 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"McNealy, Maverick",18634,46442,12:44 PM,late,1,7:29 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Meissner, Mac",28159,59143,7:07 AM,early,10,12:22 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Merritt, Troy",13367,32640,1:06 PM,late,1,7:51 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Mitchell, Keith",17365,39546,7:51 AM,early,10,1:06 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Moore, Taylor",21944,49947,6:45 AM,early,10,12:00 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Mouw, William",29770,63121,7:29 AM,early,1,12:44 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Nakajima, Keita",21074,49228,1:39 PM,late,10,8:24 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Neergaard-Petersen, Rasmus",23841,52689,1:39 PM,late,1,8:24 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Nyholm, Pontus",25475,55851,1:28 PM,late,10,8:13 AM,early,1,null,null,null,null,null,null,2
