player_id,dg_id,last_name,first_name,tour_affiliation,data_depth_class,debut_flag,neutral_skill_sg,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_t2g_12m,true_sg_last5,true_sg_vs_baseline,form_class,venue_history_depth,starts_at_renaissance,best_finish_renaissance,venue_fit_total_adj,predicted_app_150_200_share,predicted_driving_accuracy_fit
P070,16243,KOEPKA,BROOKS,DP World Tour,FULL,True,0.18479999999999996,0.192,0.32,0.076,0.0,0.914,0.71,0.46,WARM,NONE,0.0,,0.07,-0.003,0.05
P098,10419,NOREN,ALEX,DP World Tour,FULL,False,0.17995,0.108,0.345,0.134,0.0,0.296,0.73,-0.55,COOL,MODERATE,12.0,10.0,-0.23,-0.011,-0.11
P085,24185,MANSELL,RICHARD,DP World Tour,DEBUT,False,0.022872266866831498,0.295,-0.273,,0.0,,,,NEUTRAL,MODERATE,10.0,10.0,0.17,,0.06
P047,21362,HILLIER,DANIEL,DP World Tour,FULL,False,0.09459999999999996,0.389,0.19,-0.443,0.0,0.952,-0.08,-0.62,COOL,MODERATE,10.0,46.0,0.01,,-0.05
P067,12423,KIRK,CHRIS,DP World Tour,FULL,False,0.18094999999999997,0.128,0.361,0.081,0.0,0.423,-0.27,-0.43,COOL,THIN,4.0,71.0,-0.01,-0.002,-0.02
P064,17543,KIM,MICHAEL,DP World Tour,FULL,False,0.1002,-0.206,0.384,0.138,0.0,-0.138,0.55,0.05,NEUTRAL,THIN,6.0,34.0,-0.02,-0.008,0.06
P042,5716,HARRINGTON,PADRAIG,DP World Tour,FULL,False,-0.15189999999999992,-1.035,0.2,0.443,0.0,-0.921,-0.01,1.34,HOT,STRONG,22.0,18.0,0.07,0.007,0.07
P031,16475,FORREST,GRANT,DP World Tour,FULL,False,-0.05525,0.08,-0.203,-0.041,0.0,0.031,-0.97,-0.78,COOL,STRONG,26.0,11.0,0.21,,0.12
P105,13764,PARRY,JOHN,DP World Tour,FULL,False,0.18215,0.064,0.365,0.176,0.0,0.085,-0.22,-0.65,COOL,THIN,4.0,55.0,-0.12,0.043,-0.06
P002,30445,AYORA,ANGEL,DP World Tour,FULL,True,0.2445,0.636,0.134,0.034,0.0,0.629,0.13,-0.52,COOL,NONE,0.0,,0.1,,0.03
P050,23838,HOJGAARD,RASMUS,DP World Tour,FULL,False,0.13575000000000004,0.274,0.277,-0.217,0.0,0.308,-0.53,-1.17,COLD,MODERATE,18.0,10.0,0.26,0.002,0.15
P155,29925,YELLAMARAJU,SUDARSHAN,DP World Tour,FULL,True,0.1775,0.459,0.136,-0.039,0.0,0.628,0.35,0.09,NEUTRAL,NONE,0.0,,0.01,-0.025,-0.02
P003,19846,BAUCHOU,ZACH,DP World Tour,FULL,True,0.1488,-0.09,0.408,0.165,0.0,0.325,0.59,0.45,WARM,NONE,0.0,,-0.05,0.009,0.0
P080,20085,LINDELL,OLIVER,DP World Tour,FULL,True,0.19719999999999996,-0.268,0.724,0.121,0.0,0.26,0.91,0.29,NEUTRAL,NONE,0.0,,-0.1,,0.0
P147,17550,VAN ROOYEN,ERIK,DP World Tour,FULL,False,-0.0945,0.018,-0.234,-0.09,0.0,-0.684,0.47,0.92,HOT,STRONG,20.0,39.0,0.06,-0.066,0.05
P140,26850,SVENSSON,JESPER,DP World Tour,FULL,False,0.02770000000000001,0.546,-0.298,-0.159,0.0,-0.034,-0.31,-0.15,NEUTRAL,MODERATE,8.0,34.0,0.2,-0.038,0.06
P151,12426,WARING,PAUL,DP World Tour,FULL,False,0.017599999999999998,0.015,0.162,-0.218,0.0,0.424,-0.01,0.56,WARM,MODERATE,10.0,,0.05,-0.039,0.01
P112,14704,PUTNAM,ANDREW,DP World Tour,FULL,False,0.054300000000000015,-0.591,0.412,0.437,0.0,-0.138,0.3,0.09,NEUTRAL,MODERATE,12.0,42.0,-0.41,-0.001,-0.18
P090,28159,MEISSNER,MAC,DP World Tour,FULL,True,0.18675,0.096,0.333,0.207,0.0,0.279,0.81,-0.03,NEUTRAL,NONE,0.0,,-0.04,0.024,0.03
P089,22322,MCKIBBIN,TOM,DP World Tour,FULL,False,0.06455000000000001,0.452,-0.287,0.147,0.0,0.308,-0.2,-0.53,COOL,THIN,6.0,35.0,-0.06,-0.012,-0.1
P126,20722,SCHMID,MATTI,DP World Tour,FULL,False,-0.005800000000000001,0.147,-0.122,-0.036,0.0,-0.279,0.19,0.11,NEUTRAL,THIN,6.0,17.0,0.16,-0.002,0.11
P145,26649,THORBJORNSEN,MICHAEL,DP World Tour,FULL,True,0.21225000000000002,0.455,0.061,0.272,0.0,0.373,-0.06,-0.68,COOL,NONE,0.0,,0.03,-0.017,-0.01
P022,22833,ECHAVARRIA,NICO,DP World Tour,FULL,False,-0.02085,-0.074,0.113,-0.191,0.0,-0.018,0.61,0.32,WARM,THIN,6.0,22.0,-0.1,0.018,-0.05
P021,19421,DU PLESSIS,HENNIE,DP World Tour,FULL,True,0.19659999999999997,0.372,0.296,-0.093,0.0,0.668,-0.56,-0.93,COLD,NONE,0.0,,0.07,,0.0
P093,7655,MOLINARI,FRANCESCO,DP World Tour,FULL,False,0.038149999999999996,0.024,0.065,0.041,0.0,-0.006,-0.46,-0.11,NEUTRAL,MODERATE,13.0,46.0,-0.09,0.023,-0.1
P040,27194,HALL,HARRY,DP World Tour,FULL,False,0.07869999999999999,-0.166,0.154,0.373,0.0,-0.146,0.13,-0.81,COLD,MODERATE,8.0,17.0,-0.04,-0.023,0.06
P107,22465,PENGE,MARCO,DP World Tour,FULL,False,0.16885,0.914,-0.145,-0.273,0.0,0.238,-0.39,-0.92,COLD,THIN,4.0,2.0,0.28,-0.048,0.13
P023,26653,ECKROAT,AUSTIN,DP World Tour,FULL,False,0.04765,0.013,0.305,-0.315,0.0,0.189,-0.43,-0.51,COOL,THIN,6.0,65.0,0.0,0.057,0.01
P051,,HOLLICK,MICHAEL,DP World Tour,DEBUT,True,0.041468319498410455,,,,,,-0.24,0.76,WARM,NONE,,,0.0,,0.0
P037,23465,GREYSERMAN,MAX,DP World Tour,FULL,False,-0.038349999999999995,-0.182,0.027,0.034,0.0,-0.067,0.54,0.36,WARM,THIN,6.0,21.0,0.1,-0.009,0.09
P157,,GARNETT,BRICE,DP World Tour,DEBUT,True,0.041468319498410455,,,,,,0.39,1.01,HOT,NONE,,,0.0,-0.012,0.0
P056,17488,IM,SUNGJAE,DP World Tour,FULL,False,0.019750000000000018,0.265,-0.413,0.424,0.0,-0.204,0.02,-0.15,NEUTRAL,MODERATE,10.0,4.0,-0.09,-0.068,-0.04
