player_name,player_id,model_rank,tier,vts_final,neutral_skill_sg,neutral_skill_index,venue_fit_score,venue_fit_delta,venue_history_delta,pre_penalty_vts,debut_penalty_applied,anti_pattern_penalty_total,recent_form_gate_applied,health_gate_status,volatility_index,venue_variance_class,win_pct,top3_pct,top5_pct,top10_pct,top20_pct,make_cut_pct,miss_cut_pct,anti_pattern_flags,primary_trait_driver,primary_risk_trait,trait_summary_label,tee_time_rd1,tour,world_rank
"HALL, HARRY",49,33,2,68.22,1.18,75.0,73.79,-1.21,0.0,74.58,0.0,-2.0,False,ok,25.0,high,1.02,16.2,24.59,37.41,54.26,73.12,26.88,short_and_wild,ARG_TightRunoff,MajorGrind,ARG_TightRunoff + ARG_Bunker; weak MajorGrind,,PGA Tour,66.0
"LOWRY, SHANE",26,34,2,66.97,1.04,73.27,75.52,2.25,0.0,74.05,0.0,-2.36,False,ok,25.0,high,0.93,14.46,22.42,34.98,52.08,71.16,28.84,weak_tight_runoff,OTT_Distance,MajorGrind,OTT_Distance + OTT_Accuracy; weak MajorGrind,,PGA Tour,44.0
"CAULEY, BUD",38,35,2,66.49,0.67,68.69,73.29,4.6,0.0,70.3,0.0,-1.27,False,ok,25.0,high,0.9,13.83,21.63,34.06,51.24,70.36,29.64,poor_lag_putting,ARG_TightRunoff,MajorGrind,ARG_TightRunoff + OTT_Accuracy; weak MajorGrind,,PGA Tour,40.0
"KOIVUN, JACKSON",47,36,2,66.48,1.29,76.36,79.77,3.41,0.0,77.56,-1.75,-2.23,False,ok,75.0,high,1.08,16.89,26.42,41.61,62.61,82.07,17.93,weak_tight_runoff,PUTT_LagCtrl,MajorGrind,PUTT_LagCtrl + OTT_Accuracy; weak MajorGrind,,Amateur,260.0
"MATSUYAMA, HIDEKI",33,37,2,66.1,1.32,76.73,80.44,3.71,0.0,78.03,0.0,-3.26,True,ok,75.0,high,1.05,16.3,25.66,40.73,61.79,81.31,18.69,short_and_wild;poor_lag_putting,ARG_TightRunoff,MajorGrind,ARG_TightRunoff + ARG_Bunker; weak MajorGrind,,PGA Tour,24.0
"MCNEALY, MAVERICK",14,38,2,65.62,1.53,79.33,73.67,-5.66,0.0,77.35,0.0,-3.91,False,ok,25.0,high,0.84,12.75,20.23,32.42,49.7,68.84,31.16,bomb_and_spray,ARG_TightRunoff,MajorGrind,ARG_TightRunoff + OTT_Distance; weak MajorGrind,,PGA Tour,37.0
"KNAPP, JAKE",22,39,2,65.36,1.76,82.18,71.39,-10.78,0.0,78.4,0.0,-4.35,False,ok,50.0,high,0.91,13.81,22.02,35.48,54.7,75.95,24.05,long_iron_liability,PUTT_LagCtrl,MajorGrind,PUTT_LagCtrl + OTT_Distance; weak MajorGrind,,PGA Tour,43.0
"STRAKA, SEPP",51,40,2,65.2,0.81,70.42,75.59,5.17,0.0,72.23,0.0,-2.16,False,ok,25.0,high,0.82,12.26,19.59,31.65,48.96,68.08,31.92,weak_tight_runoff,OTT_Distance,MajorGrind,OTT_Distance + OTT_Accuracy; weak MajorGrind,,PGA Tour,19.0
"GERARD, RYAN",27,41,3,64.9,0.88,71.29,73.49,2.2,0.0,72.06,0.0,-2.39,False,ok,25.0,high,0.8,11.9,19.12,31.09,48.41,67.5,32.5,weak_tight_runoff,OTT_Accuracy,MajorGrind,OTT_Accuracy + OTT_Distance; weak MajorGrind,,PGA Tour,23.0
"CLARK, WYNDHAM",18,42,3,64.71,1.09,73.89,76.27,2.38,0.0,74.72,0.0,-3.96,False,ok,75.0,high,0.94,14.28,23.02,37.57,58.75,78.33,21.67,bomb_and_spray,ARG_TightRunoff,MajorGrind,ARG_TightRunoff + ARG_Bunker; weak MajorGrind,,PGA Tour,34.0
"POSTON, J.T.",46,43,3,63.92,0.76,69.8,71.67,1.87,0.0,70.46,0.0,-2.18,False,ok,25.0,high,0.74,10.83,17.69,29.32,46.65,65.59,34.41,weak_tight_runoff,OTT_Accuracy,MajorGrind,OTT_Accuracy + OTT_Distance; weak MajorGrind,2:09 PM,PGA Tour,38.0
"KIRK, CHRIS",80,44,3,63.91,0.51,66.71,71.94,5.23,0.0,68.54,0.0,-1.32,False,ok,25.0,high,0.74,10.82,17.67,29.3,46.63,65.57,34.43,poor_lag_putting,OTT_Distance,MajorGrind,OTT_Distance + OTT_Accuracy; weak MajorGrind,,PGA Tour,106.0
"THEEGALA, SAHITH",65,45,3,63.71,0.6,67.82,68.56,0.74,0.0,68.08,0.0,-1.27,False,ok,25.0,high,0.73,10.62,17.39,28.95,46.28,65.17,34.83,poor_lag_putting,ARG_TightRunoff,MajorGrind,ARG_TightRunoff + ARG_Bunker; weak MajorGrind,,PGA Tour,83.0
"THOMPSON, DAVIS",68,46,3,63.27,0.54,67.08,67.83,0.76,0.0,67.34,0.0,-1.36,False,ok,25.0,high,0.7,10.17,16.79,28.18,45.49,64.27,35.73,poor_lag_putting,OTT_Distance,MajorGrind,OTT_Distance + OTT_Accuracy; weak MajorGrind,,PGA Tour,138.0
