Last Name,First Name,Fairway 50-100 (shots),Fairway 50-100 (value),Fairway 100-150 (shots),Fairway 100-150 (value),Fairway 150-200 (shots),Fairway 150-200 (value),Fairway over 200 (shots),Fairway over 200 (value),Rough-Under 150 (shots),Rough-Under 150 (value),Rough-Over 150 (shots),Rough-Over 150 (value)
THOMPSON,DAVIS,100,0.072,288,0.028,373,0.016,170,-0.077,130,-0.028,99,0.028
PIERCY,SCOTT,23,-0.09,59,0.028,68,-0.042,40,-0.048,39,0.09,19,-0.078
BURGOON,BRONSON,23,-0.086,48,0.028,70,0.032,34,0.006,39,-0.052,25,-0.054
REDMAN,DOC,13,0.222,47,0.028,63,0.052,—,—,19,-0.015,—,—
RYDER,SAM,77,0.011,226,0.027,343,0.008,145,-0.02,111,0.033,96,0.001
PAK,JOHN,35,-0.044,95,0.027,108,0.012,52,-0.035,38,-0.067,22,0.02
VILLEGAS,CAMILO,49,0.046,134,0.027,204,-0.019,88,-0.078,86,0.081,84,-0.053
COVELLO,VINCE,21,0.04,53,0.026,69,-0.036,29,-0.143,43,0.052,—,—
SPIETH,JORDAN,94,0.069,247,0.026,428,-0.025,193,-0.003,153,0.053,127,-0.046
DAHMEN,JOEL,82,0.019,225,0.026,353,-0.02,162,-0.007,92,0.026,72,0.045
BRADLEY,KEEGAN,93,-0.023,270,0.026,445,0.002,225,0.029,137,-0.003,120,-0.044
MCNEALY,MAVERICK,106,-0.004,300,0.026,453,-0.004,245,0.024,158,-0.007,163,0.013
FOX,RYAN,65,0.028,260,0.025,310,-0.026,161,0.054,119,0.031,145,0.053
GOODWIN,NOAH,50,0.049,129,0.025,146,-0.024,75,-0.085,43,0.001,45,-0.087
CLANTON,LUKE,61,-0.023,241,0.024,333,0.026,157,-0.004,106,0.007,123,0.02
CLARK,WYNDHAM,88,0.071,271,0.024,376,0.026,183,0.056,145,0.094,144,-0.032
KOZUMA,JINICHIRO,33,0.048,58,0.024,68,0.02,33,-0.05,31,-0.101,19,0.004
STRAKA,SEPP,70,0.059,243,0.024,387,0.027,185,0.058,90,-0.003,123,-0.014
HOGE,TOM,115,0.042,283,0.024,435,-0.026,200,0.041,145,0.028,176,0.028
CHATFIELD,DAVIS,34,-0.062,95,0.024,156,-0.024,64,0.028,37,-0.111,45,-0.084
