Last Name,First Name,short game,approach,driving-distance,driving-accuracy,total sg adj,Putting 2-5ft,Putting 5-30ft,Putting 30+ ft,Course-Fairway,Course-Rough,Course-Bunker,Approach 50-100yds,Approach 100-150 yds,Approach 150-200 yds,Approach 200+ yds
VEERMAN,JOHANNES,0.01,0.06,-0.01,0.11,0.17,5.7,10.5,4.4,4.5,2.7,0.9,1.8,4.2,7.3,4.4
SCHMID,MATTI,-0.01,0.01,0.05,0.11,0.16,5.7,10.6,4.3,4.4,2.6,0.9,1.7,4.5,7.3,4.1
BRENNAN,MICHAEL,0.04,-0.02,0.12,0.01,0.15,5.8,10.8,4.3,4.2,2.6,0.8,1.4,4.7,7.2,4
SYME,CONNOR,0.09,0.04,-0.02,0.02,0.12,5.8,10.7,4.4,4.5,2.6,0.9,1.7,4.1,7.3,4.6
HIGHSMITH,JOE,0.03,0.03,0,0.07,0.12,5.8,10.5,4.3,4.4,2.6,0.9,1.7,4.2,7.3,4.4
KNAPP,JAKE,-0.03,-0.01,0.09,0.08,0.12,5.7,10.6,4.3,4.3,2.5,0.8,1.6,4.6,7.2,4
KEEFER,JOHNNY,0.06,-0.04,0.08,0.02,0.12,5.8,10.8,4.3,4.2,2.5,0.8,1.5,4.6,7.2,4.1
VILIPS,KARL,-0.02,0.01,0.01,0.13,0.12,5.7,10.5,4.3,4.4,2.5,0.9,1.8,4.3,7.3,4.3
FOX,RYAN,-0.01,-0.02,0.04,0.11,0.12,5.7,10.6,4.3,4.2,2.4,0.8,1.7,4.4,7.3,4.1
GOTTERUP,CHRIS,-0.05,-0.04,0.11,0.09,0.12,5.7,10.7,4.2,4.2,2.4,0.8,1.6,4.7,7.2,3.9
NAIDOO,DYLAN,0.04,0.08,-0.04,0.03,0.11,5.8,10.4,4.4,4.6,2.8,0.9,1.7,4,7.3,4.6
MCILROY,RORY,-0.05,-0.05,0.14,0.06,0.11,5.7,10.6,4.2,4.1,2.4,0.8,1.5,4.9,7.2,3.8
GREYSERMAN,MAX,-0.03,-0.01,0.05,0.09,0.1,5.7,10.5,4.3,4.3,2.5,0.8,1.6,4.5,7.3,4.1
AYORA,ANGEL,0,-0.02,0.08,0.03,0.1,5.7,10.7,4.3,4.3,2.5,0.8,1.5,4.6,7.2,4.1
MOORE,TAYLOR,-0.03,0,0.05,0.07,0.1,5.7,10.5,4.2,4.3,2.6,0.9,1.6,4.4,7.3,4.2
LARRAZABAL,PABLO,0.04,0.06,-0.06,0.06,0.09,5.8,10.4,4.4,4.5,2.7,0.9,1.8,3.9,7.3,4.7
